DayID,hour_of_day,T_out
12,15:00,5.7
12,16:00,5.4
12,17:00,5
12,18:00,4.5
12,19:00,4.5
12,20:00,4.7
12,21:00,4.8
12,22:00,4.7
12,23:00,4.5
13,0:00,4.1
13,1:00,4
13,2:00,3.5
13,3:00,3.1
13,4:00,2.9
13,5:00,2.8
13,6:00,2.7
13,7:00,2.7
13,8:00,3.4
13,9:00,4.3
13,10:00,5.1
13,11:00,5.6
13,12:00,6
13,13:00,7.2
13,14:00,7.4
13,15:00,7.4
13,16:00,7.2
13,17:00,6.6
13,18:00,5.8
13,19:00,5.5
13,20:00,5.7
13,21:00,5.9
13,22:00,5.9
13,23:00,5.7
14,0:00,5.3
14,1:00,5.3
14,2:00,5
14,3:00,4.5
14,4:00,4.1
14,5:00,3.8
14,6:00,3.4
14,7:00,3.2
14,8:00,3.8
14,9:00,4.8
14,10:00,5.6
14,11:00,5.8
14,12:00,6.1
14,13:00,7.4
14,14:00,7.4
14,15:00,7.3
14,16:00,7
14,17:00,6.2
14,18:00,5.2
14,19:00,4.4
14,20:00,3.7
14,21:00,3.3
14,22:00,2.8
14,23:00,2.4
15,0:00,2.4
15,1:00,2.3
15,2:00,3.2
15,3:00,1.9
15,4:00,4
15,5:00,2.2
15,6:00,1.1
15,7:00,1.2
15,8:00,1.9
15,9:00,3.7
15,10:00,5.7
15,11:00,7.3
15,12:00,8.5
15,13:00,6.7
15,14:00,6.8
15,15:00,7
15,16:00,6.8
15,17:00,6.7
15,18:00,6.4
15,19:00,5.9
15,20:00,5.3
15,21:00,4.3
15,22:00,3.4
15,23:00,2.9
16,0:00,3
16,1:00,3
16,2:00,2.9
16,3:00,3.2
16,4:00,3
16,5:00,3
16,6:00,2.7
16,7:00,2.6
16,8:00,2.7
16,9:00,3
16,10:00,3.6
16,11:00,4.1
16,12:00,4.6
16,13:00,4.9
16,14:00,4.9
16,15:00,4.4
16,16:00,3.6
16,17:00,2.8
16,18:00,2.1
16,19:00,1.8
16,20:00,2.1
16,21:00,2.3
16,22:00,2.5
16,23:00,2.7
17,0:00,2.4
17,1:00,1.8
17,2:00,1.9
17,3:00,2.4
17,4:00,2.8
17,5:00,2.7
17,6:00,3
17,7:00,3.5
17,8:00,3.9
17,9:00,5
17,10:00,5.8
17,11:00,6
17,12:00,6.4
17,13:00,5.9
17,14:00,6.2
17,15:00,6.4
17,16:00,6.1
17,17:00,6.1
17,18:00,6.3
17,19:00,6
17,20:00,5.8
17,21:00,6
17,22:00,4.7
17,23:00,4.1
18,0:00,3.5
18,1:00,2.8
18,2:00,2.5
18,3:00,2.1
18,4:00,1.9
18,5:00,1.9
18,6:00,1.9
18,7:00,2.1
18,8:00,3.2
18,9:00,4.7
18,10:00,6.6
18,11:00,8.7
18,12:00,9.3
18,13:00,9.6
18,14:00,9.9
18,15:00,9.2
18,16:00,8.7
18,17:00,7.9
18,18:00,6.6
18,19:00,5.2
18,20:00,4.5
18,21:00,4
18,22:00,3.7
18,23:00,3.4
19,0:00,3.2
19,1:00,3.5
19,2:00,3.2
19,3:00,2.8
19,4:00,2.5
19,5:00,2.2
19,6:00,2
19,7:00,2.2
19,8:00,3.1
19,9:00,4
19,10:00,5
19,11:00,6.6
19,12:00,7.7
19,13:00,8.3
19,14:00,8.8
19,15:00,9.2
19,16:00,8.9
19,17:00,7.8
19,18:00,6.4
19,19:00,5.2
19,20:00,4.3
19,21:00,3.6
19,22:00,2.9
19,23:00,2.6
20,0:00,2.3
20,1:00,2.5
20,2:00,2.4
20,3:00,2.2
20,4:00,2.3
20,5:00,2.2
20,6:00,2.2
20,7:00,2.5
20,8:00,3.4
20,9:00,4.3
20,10:00,5.5
20,11:00,6.6
20,12:00,7.4
20,13:00,7.6
20,14:00,7.8
20,15:00,7.7
20,16:00,7.3
20,17:00,6.6
20,18:00,5.7
20,19:00,5
20,20:00,4.5
20,21:00,4.4
20,22:00,4.9
20,23:00,5.3
21,0:00,5.2
21,1:00,5.5
21,2:00,5.1
21,3:00,4.8
21,4:00,4.5
21,5:00,4.3
21,6:00,4.1
21,7:00,4.2
21,8:00,4.9
21,9:00,5.6
21,10:00,6
21,11:00,6.3
21,12:00,6.5
21,13:00,7.7
21,14:00,7.9
21,15:00,7.9
21,16:00,7.5
21,17:00,6.8
21,18:00,6.1
21,19:00,5.7
21,20:00,5.4
21,21:00,5.4
21,22:00,5.5
21,23:00,5.4
22,0:00,5.3
22,1:00,5.2
22,2:00,4.7
22,3:00,4.4
22,4:00,4
22,5:00,3.7
22,6:00,2.6
22,7:00,3.8
22,8:00,5.3
22,9:00,6.1
22,10:00,6.5
22,11:00,6.8
22,12:00,6.9
22,13:00,7.4
22,14:00,7.3
22,15:00,7
22,16:00,6.6
22,17:00,6
22,18:00,4.9
22,19:00,3.1
22,20:00,2.5
22,21:00,4
22,22:00,1.6
22,23:00,0.8
23,0:00,1
23,1:00,2.8
23,2:00,2.1
23,3:00,1.8
23,4:00,1.5
23,5:00,1.8
23,6:00,1.5
23,7:00,2.4
23,8:00,3.6
23,9:00,4.7
23,10:00,5.7
23,11:00,6.8
23,12:00,7.8
23,13:00,8.8
23,14:00,9
23,15:00,9.1
23,16:00,8.8
23,17:00,7.9
23,18:00,6.4
23,19:00,4.9
23,20:00,3.6
23,21:00,2.6
23,22:00,2
23,23:00,0.6
24,0:00,0
24,1:00,-0.6
24,2:00,-1.6
24,3:00,-1.9
24,4:00,-2.1
24,5:00,-2.4
24,6:00,-2.8
24,7:00,-2.2
24,8:00,0.7
24,9:00,4.1
24,10:00,6.3
24,11:00,7.5
24,12:00,8.4
24,13:00,9.8
24,14:00,10.8
24,15:00,11.6
24,16:00,11.7
24,17:00,10.9
24,18:00,8.7
24,19:00,6.4
24,20:00,5.3
24,21:00,4.7
24,22:00,4.4
24,23:00,4.3
25,0:00,4.3
25,1:00,4.9
25,2:00,4.4
25,3:00,3.8
25,4:00,3.6
25,5:00,3.3
25,6:00,3.2
25,7:00,3.8
25,8:00,5.5
25,9:00,7.7
25,10:00,9.9
25,11:00,11.5
25,12:00,12.6
25,13:00,13.5
25,14:00,13.8
25,15:00,13.4
25,16:00,13
25,17:00,12.3
25,18:00,11.1
25,19:00,9.9
25,20:00,9.5
25,21:00,9.1
25,22:00,8.6
25,23:00,8
26,0:00,7.7
26,1:00,8.2
26,2:00,8.1
26,3:00,7.8
26,4:00,7.5
26,5:00,7.2
26,6:00,7.1
26,7:00,7.5
26,8:00,8
26,9:00,8.7
26,10:00,9.7
26,11:00,10.5
26,12:00,11.2
26,13:00,12
26,14:00,12
26,15:00,11.7
26,16:00,11.1
26,17:00,10.3
26,18:00,8.7
26,19:00,6.8
26,20:00,5.8
26,21:00,5.4
26,22:00,5.2
26,23:00,4.4
27,0:00,3.7
27,1:00,3.8
27,2:00,1.2
27,3:00,2.6
27,4:00,3.9
27,5:00,3.9
27,6:00,4
27,7:00,3.2
27,8:00,5.1
27,9:00,6.4
27,10:00,8.2
27,11:00,9.8
27,12:00,10.9
27,13:00,12.2
27,14:00,11.7
27,15:00,11.5
27,16:00,11.5
27,17:00,10.4
27,18:00,9.5
27,19:00,8.4
27,20:00,7.6
27,21:00,7
27,22:00,6.4
27,23:00,5.8
28,0:00,5.3
28,1:00,4.8
28,2:00,4.6
28,3:00,4.5
28,4:00,4.4
28,5:00,4.4
28,6:00,4.4
28,7:00,4.9
28,8:00,5.8
28,9:00,6.6
28,10:00,7.2
28,11:00,8.4
28,12:00,9.6
28,13:00,10.1
28,14:00,10.3
28,15:00,10.1
28,16:00,9.8
28,17:00,9.9
28,18:00,9.1
28,19:00,7.9
28,20:00,7.2
28,21:00,6.4
28,22:00,5.4
28,23:00,4.5
29,0:00,3.8
29,1:00,3.3
29,2:00,2.9
29,3:00,2.7
29,4:00,2.7
29,5:00,2.8
29,6:00,2.9
29,7:00,3.5
29,8:00,4.3
29,9:00,5.3
29,10:00,6
29,11:00,6.3
29,12:00,6.3
29,13:00,8
29,14:00,7.8
29,15:00,7.3
29,16:00,6.9
29,17:00,6
29,18:00,5
29,19:00,3.7
29,20:00,2.8
29,21:00,2.3
29,22:00,2
29,23:00,1.4
30,0:00,-0.6
30,1:00,1.1
30,2:00,0.8
30,3:00,0.1
30,4:00,0
30,5:00,-0.1
30,6:00,0
30,7:00,0.6
30,8:00,0.9
30,9:00,1.6
30,10:00,2.5
30,11:00,3.1
30,12:00,3.6
30,13:00,3
30,14:00,2.1
30,15:00,1.8
30,16:00,2.1
30,17:00,1.9
30,18:00,1.7
30,19:00,1.9
30,20:00,1.2
30,21:00,0.6
30,22:00,0.3
30,23:00,0.1
31,0:00,-0.2
31,1:00,-1
31,2:00,-0.4
31,3:00,-0.5
31,4:00,-0.4
31,5:00,-0.3
31,6:00,-0.4
31,7:00,0.4
31,8:00,1.2
31,9:00,1.8
31,10:00,2.7
31,11:00,3.4
31,12:00,3.9
31,13:00,3.9
31,14:00,4.1
31,15:00,4.1
31,16:00,4
31,17:00,3.1
31,18:00,2.2
31,19:00,1.8
31,20:00,1.5
31,21:00,0.7
31,22:00,0.1
31,23:00,-0.1
32,0:00,-0.2
32,1:00,0
32,2:00,0
32,3:00,0.2
32,4:00,0
32,5:00,-0.2
32,6:00,-0.4
32,7:00,0.1
32,8:00,0.6
32,9:00,1.6
32,10:00,2.7
32,11:00,3.5
32,12:00,4.3
32,13:00,4.7
32,14:00,4.8
32,15:00,4.6
32,16:00,4.4
32,17:00,4.4
32,18:00,3.7
32,19:00,2.6
32,20:00,1.4
32,21:00,0.7
32,22:00,-1.2
32,23:00,-2
33,0:00,0.3
33,1:00,0.2
33,2:00,-0.7
33,3:00,-1.1
33,4:00,-1.4
33,5:00,-1.5
33,6:00,-1.6
33,7:00,-0.9
33,8:00,-0.1
33,9:00,0.8
33,10:00,1.9
33,11:00,2.8
33,12:00,3.4
33,13:00,3.9
33,14:00,4.4
33,15:00,4.3
33,16:00,3.9
33,17:00,2.9
33,18:00,2.1
33,19:00,1.2
33,20:00,0.4
33,21:00,-0.2
33,22:00,-0.5
33,23:00,-0.7
34,0:00,-1
34,1:00,-0.9
34,2:00,-1.3
34,3:00,-1.2
34,4:00,-1
34,5:00,-1
34,6:00,-1.1
34,7:00,0.1
