run,E_heat_kWh,E_cool_kWh,E_plug_kWh,E_light_kWh,E_total_kWh,CO2_exceed_hours,mean_occupancy,strategy
0,45309.719822947365,0.0,699.425,536.625,46545.76982294737,0.0,15.875236742424242,fixed
1,44548.68608294736,0.0,711.825,546.8249999999999,45807.33608294737,0.0,16.10558712121212,fixed
2,46001.867552,0.0,726.5749999999999,557.9499999999999,47286.392552000005,0.0,16.227272727272727,fixed
3,44738.63566736842,0.0,705.3499999999999,540.7,45984.685667368416,0.0,14.418087121212121,fixed
4,45595.91287473684,0.0,698.0749999999999,535.525,46829.51287473684,0.0,15.203361742424242,fixed
5,44016.571704210524,0.0,715.15,549.1999999999999,45280.92170421052,0.0,15.397490530303031,fixed
6,44942.71152568421,0.0,735.35,564.45,46242.51152568421,0.0,16.060606060606062,fixed
7,45822.91591473685,0.0,721.0,553.675,47097.590914736844,0.0,16.8766571969697,fixed
8,45022.764003368415,0.0,696.175,534.425,46253.36400336841,0.0,15.913589015151516,fixed
9,44946.40650547368,0.0,736.75,565.8,46248.956505473674,0.0,15.274147727272727,fixed
10,44903.51992526316,0.0,737.375,566.1999999999999,46207.094925263154,0.0,17.184895833333332,fixed
11,45633.22748547368,0.0,727.875,558.625,46919.72748547368,0.0,18.57410037878788,fixed
12,44413.19042778947,0.0,738.525,567.025,45718.74042778947,0.0,15.804924242424242,fixed
13,45009.483540631576,0.0,733.875,563.525,46306.88354063158,0.0,16.11624053030303,fixed
14,44938.25723810526,0.0,705.8499999999999,541.375,46185.48223810526,0.0,15.413589015151516,fixed
15,45872.36872968421,0.0,725.375,556.275,47154.01872968421,0.0,16.863873106060606,fixed
16,44761.85377515789,0.0,715.45,549.4749999999999,46026.77877515789,0.0,15.879024621212121,fixed
17,44620.99712631579,0.0,716.3,549.8499999999999,45887.14712631579,0.0,16.115056818181817,fixed
18,44947.20016926315,0.0,709.3,544.15,46200.65016926315,0.0,14.929924242424242,fixed
19,44854.05113473683,0.0,724.4,556.05,46134.501134736835,0.0,16.33475378787879,fixed
20,45328.927388,0.0,733.275,562.275,46624.477388,0.0,14.49502840909091,fixed
21,45366.79111305263,0.0,718.9499999999999,551.5999999999999,46637.34111305264,0.0,17.09280303030303,fixed
22,45246.93673347368,0.0,747.4499999999999,573.675,46568.061733473674,0.0,16.509232954545453,fixed
23,45585.05916252632,0.0,711.15,545.425,46841.634162526316,0.0,15.257575757575758,fixed
24,44848.55824505263,0.0,703.6999999999999,540.05,46092.30824505263,0.0,14.250946969696969,fixed
25,45228.42700673685,0.0,738.25,566.7249999999999,46533.40200673685,0.0,16.014204545454547,fixed
26,44692.77979705262,0.0,721.9749999999999,554.0999999999999,45968.85479705262,0.0,16.609848484848484,fixed
27,44925.39437494736,0.0,677.275,519.75,46122.41937494736,0.0,14.219696969696969,fixed
28,44521.287336421046,0.0,736.675,565.3,45823.262336421045,0.0,15.336410984848484,fixed
29,45297.25843852632,0.0,714.0999999999999,548.3499999999999,46559.708438526315,0.0,17.122632575757574,fixed
30,45451.676858947365,0.0,699.925,538.05,46689.65185894736,0.0,15.667376893939393,fixed
31,44357.7364088421,0.0,723.4749999999999,555.0999999999999,45636.3114088421,0.0,15.421638257575758,fixed
32,44789.973886947366,0.0,683.2249999999999,524.9749999999999,45998.17388694736,0.0,17.341145833333332,fixed
33,45246.067394947364,0.0,732.95,562.5999999999999,46541.61739494737,0.0,16.337357954545453,fixed
34,45092.244208210526,0.0,719.525,552.175,46363.94420821052,0.0,15.276751893939394,fixed
35,45108.69988905263,0.0,726.175,557.1,46391.974889052624,0.0,14.274857954545455,fixed
36,44333.2784888421,0.0,733.675,562.375,45629.328488842104,0.0,15.55184659090909,fixed
37,44843.91505452631,0.0,708.0249999999999,543.05,46094.990054526315,0.0,14.649384469696969,fixed
38,44931.82316189473,0.0,736.3249999999999,565.5,46233.64816189474,0.0,16.417140151515152,fixed
39,44320.52835726315,0.0,725.3,556.9749999999999,45602.803357263154,0.0,18.18560606060606,fixed
40,44685.62875494736,0.0,708.85,544.5999999999999,45939.07875494737,0.0,14.405066287878787,fixed
41,45341.431281052624,0.0,711.525,546.0999999999999,46599.05628105263,0.0,16.60535037878788,fixed
42,44717.96866189473,0.0,749.3,575.7249999999999,46042.99366189474,0.0,16.24810606060606,fixed
43,45346.864623999994,0.0,711.4749999999999,546.025,46604.364623999994,0.0,16.298295454545453,fixed
44,44993.868190526315,0.0,687.675,527.0,46208.54319052632,0.0,15.110085227272727,fixed
45,44606.80175305263,0.0,738.75,567.175,45912.72675305262,0.0,15.888967803030303,fixed
46,45353.99127263157,0.0,743.5749999999999,570.675,46668.241272631574,0.0,14.673532196969695,fixed
47,44209.575976,0.0,727.9,558.8249999999999,45496.300976,0.0,16.06628787878788,fixed
48,45356.622294315785,0.0,727.375,558.275,46642.272294315786,0.0,16.97750946969697,fixed
49,44998.7932128421,0.0,718.65,551.4749999999999,46268.9182128421,0.0,16.316051136363637,fixed
50,45247.91173452631,0.0,712.1499999999999,546.75,46506.81173452631,0.0,16.885179924242426,fixed
51,43983.11350589473,0.0,744.875,571.15,45299.138505894734,0.0,16.49621212121212,fixed
52,44418.38713347368,0.0,730.575,561.775,45710.73713347368,0.0,14.879498106060606,fixed
53,45943.2538791579,0.0,690.175,529.75,47163.178879157895,0.0,17.133285984848484,fixed
54,45425.96453305263,0.0,717.275,550.9499999999999,46694.18953305263,0.0,15.052320075757576,fixed
55,45415.11875452631,0.0,721.125,553.35,46689.593754526315,0.0,14.826704545454545,fixed
56,44974.52217431578,0.0,736.9499999999999,565.4499999999999,46276.92217431578,0.0,15.309422348484848,fixed
57,45254.95131242105,0.0,722.0999999999999,554.3499999999999,46531.40131242105,0.0,17.88091856060606,fixed
58,45244.517478315785,0.0,746.625,573.55,46564.69247831579,0.0,15.925662878787879,fixed
59,45367.579541263156,0.0,725.4749999999999,556.125,46649.179541263155,0.0,15.488399621212121,fixed
60,44384.04509305263,0.0,705.9749999999999,541.95,45631.97009305263,0.0,16.21188446969697,fixed
61,44868.53631831579,0.0,704.6999999999999,541.125,46114.36131831579,0.0,15.757102272727273,fixed
62,44895.35378757895,0.0,775.55,595.025,46265.928787578945,0.0,17.255445075757574,fixed
63,46005.51010505263,0.0,701.875,538.05,47245.43510505263,0.0,16.100142045454547,fixed
64,44103.36306821053,0.0,738.025,566.675,45408.063068210526,0.0,16.645359848484848,fixed
65,45572.41991010526,0.0,721.975,554.5999999999999,46848.99491010526,0.0,16.841145833333336,fixed
66,45101.82549136842,0.0,697.9,535.8,46335.52549136842,0.0,15.7265625,fixed
67,44784.693802315785,0.0,695.65,533.175,46013.51880231579,0.0,15.759943181818182,fixed
68,44647.51804673684,0.0,754.175,578.675,45980.36804673684,0.0,15.320549242424242,fixed
69,45805.5793488421,0.0,716.8499999999999,550.875,47073.304348842095,0.0,16.57694128787879,fixed
70,45585.86400652632,0.0,743.825,570.375,46900.064006526314,0.0,16.83475378787879,fixed
71,46089.59804821052,0.0,735.875,564.7,47390.17304821053,0.0,16.194839015151516,fixed
72,45699.796287789475,0.0,730.65,560.5999999999999,46991.046287789475,0.0,16.249763257575758,fixed
73,45530.762278105256,0.0,687.2249999999999,527.5749999999999,46745.56227810526,0.0,14.706912878787879,fixed
74,44721.9924871579,0.0,721.8,554.0999999999999,45997.89248715789,0.0,16.366714015151516,fixed
75,45525.51957705263,0.0,706.9499999999999,541.9499999999999,46774.41957705263,0.0,14.960464015151516,fixed
76,44784.61568252632,0.0,714.525,548.7249999999999,46047.86568252631,0.0,14.808238636363637,fixed
77,45011.44324905262,0.0,733.6999999999999,563.4749999999999,46308.618249052626,0.0,16.767992424242426,fixed
78,45562.018856,0.0,664.8499999999999,510.12499999999994,46736.993856,0.0,13.992660984848484,fixed
79,44061.64104694736,0.0,725.275,556.5999999999999,45343.51604694736,0.0,14.184185606060606,fixed
80,44938.79883263157,0.0,749.05,574.925,46262.773832631574,0.0,15.276988636363637,fixed
81,44631.05831515789,0.0,715.15,549.3249999999999,45895.53331515789,0.0,15.53622159090909,fixed
82,45100.28117894736,0.0,723.45,555.65,46379.38117894736,0.0,15.859611742424242,fixed
83,45431.84490126315,0.0,727.9749999999999,558.9499999999999,46718.76990126315,0.0,16.26467803030303,fixed
84,45650.12427810526,0.0,717.3499999999999,551.1999999999999,46918.67427810526,0.0,16.023674242424242,fixed
85,44692.926337894736,0.0,729.8249999999999,559.9749999999999,45982.72633789473,0.0,16.667140151515152,fixed
86,45028.364926105256,0.0,748.4,573.8249999999999,46350.58992610526,0.0,16.468039772727273,fixed
87,44836.51130294737,0.0,688.3499999999999,528.625,46053.48630294737,0.0,14.508996212121213,fixed
88,45105.31085621052,0.0,712.6499999999999,547.025,46364.98585621052,0.0,15.556344696969697,fixed
89,45449.676831578945,0.0,723.8499999999999,555.525,46729.051831578945,0.0,15.03125,fixed
90,45020.205960631574,0.0,755.5,579.75,46355.455960631574,0.0,16.356060606060606,fixed
91,45018.588316210524,0.0,717.4,550.525,46286.51331621053,0.0,15.918323863636363,fixed
92,45333.889883578944,0.0,724.375,556.175,46614.43988357894,0.0,15.906960227272727,fixed
93,45472.289712,0.0,734.975,564.6999999999999,46771.964712,0.0,16.751657196969695,fixed
