run,E_heat_kWh,E_cool_kWh,E_plug_kWh,E_light_kWh,E_total_kWh,CO2_exceed_hours,mean_occupancy,E_per_capita
0,45309.719822947365,0.0,699.425,536.625,46545.76982294737,0.0,15.875236742424242,2931.973272471624
1,44548.68608294736,0.0,711.825,546.8249999999999,45807.33608294737,0.0,16.10558712121212,2844.189146176241
2,46001.867552,0.0,726.5749999999999,557.9499999999999,47286.392552000005,0.0,16.227272727272727,2914.0073841568633
3,44738.63566736842,0.0,705.3499999999999,540.7,45984.685667368416,0.0,14.418087121212121,3189.374934467902
4,45595.91287473684,0.0,698.0749999999999,535.525,46829.51287473684,0.0,15.203361742424242,3080.2077637909097
5,44016.571704210524,0.0,715.15,549.1999999999999,45280.92170421052,0.0,15.397490530303031,2940.798801927847
6,44942.71152568421,0.0,735.35,564.45,46242.51152568421,0.0,16.060606060606062,2879.2507176369413
7,45822.91591473685,0.0,721.0,553.675,47097.590914736844,0.0,16.8766571969697,2790.694292421457
8,45022.764003368415,0.0,696.175,534.425,46253.36400336841,0.0,15.913589015151516,2906.5325213143333
9,44946.40650547368,0.0,736.75,565.8,46248.956505473674,0.0,15.274147727272727,3027.923870534127
10,44903.51992526316,0.0,737.375,566.1999999999999,46207.094925263154,0.0,17.184895833333332,2688.8201926505612
11,45633.22748547368,0.0,727.875,558.625,46919.72748547368,0.0,18.57410037878788,2526.083445691791
12,44413.19042778947,0.0,738.525,567.025,45718.74042778947,0.0,15.804924242424242,2892.689628025505
13,45009.483540631576,0.0,733.875,563.525,46306.88354063158,0.0,16.11624053030303,2873.3055611550167
14,44938.25723810526,0.0,705.8499999999999,541.375,46185.48223810526,0.0,15.413589015151516,2996.4132424125914
15,45872.36872968421,0.0,725.375,556.275,47154.01872968421,0.0,16.863873106060606,2796.1559265254323
16,44761.85377515789,0.0,715.45,549.4749999999999,46026.77877515789,0.0,15.879024621212121,2898.589798372921
17,44620.99712631579,0.0,716.3,549.8499999999999,45887.14712631579,0.0,16.115056818181817,2847.4703902094593
18,44947.20016926315,0.0,709.3,544.15,46200.65016926315,0.0,14.929924242424242,3094.499973280597
19,44854.05113473683,0.0,724.4,556.05,46134.501134736835,0.0,16.33475378787879,2824.315672818464
20,45328.927388,0.0,733.275,562.275,46624.477388,0.0,14.49502840909091,3216.5840640062715
21,45366.79111305263,0.0,718.9499999999999,551.5999999999999,46637.34111305264,0.0,17.09280303030303,2728.478239079423
22,45246.93673347368,0.0,747.4499999999999,573.675,46568.061733473674,0.0,16.509232954545453,2820.728368282682
23,45585.05916252632,0.0,711.15,545.425,46841.634162526316,0.0,15.257575757575758,3070.057452558825
24,44848.55824505263,0.0,703.6999999999999,540.05,46092.30824505263,0.0,14.250946969696969,3234.3330126105107
25,45228.42700673685,0.0,738.25,566.7249999999999,46533.40200673685,0.0,16.014204545454547,2905.75793975011
26,44692.77979705262,0.0,721.9749999999999,554.0999999999999,45968.85479705262,0.0,16.609848484848484,2767.566172502142
27,44925.39437494736,0.0,677.275,519.75,46122.41937494736,0.0,14.219696969696969,3243.558528232846
28,44521.287336421046,0.0,736.675,565.3,45823.262336421045,0.0,15.336410984848484,2987.8739153307683
29,45297.25843852632,0.0,714.0999999999999,548.3499999999999,46559.708438526315,0.0,17.122632575757574,2719.191002465713
30,45451.676858947365,0.0,699.925,538.05,46689.65185894736,0.0,15.667376893939393,2980.0554473804937
31,44357.7364088421,0.0,723.4749999999999,555.0999999999999,45636.3114088421,0.0,15.421638257575758,2959.238872460494
32,44789.973886947366,0.0,683.2249999999999,524.9749999999999,45998.17388694736,0.0,17.341145833333332,2652.5452429175234
33,45246.067394947364,0.0,732.95,562.5999999999999,46541.61739494737,0.0,16.337357954545453,2848.784823374599
34,45092.244208210526,0.0,719.525,552.175,46363.94420821052,0.0,15.276751893939394,3034.934685730156
35,45108.69988905263,0.0,726.175,557.1,46391.974889052624,0.0,14.274857954545455,3249.907987650435
36,44333.2784888421,0.0,733.675,562.375,45629.328488842104,0.0,15.55184659090909,2934.013541228921
